,Product Name,Cost, Rating,Reviews,Product URL
41,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,395,3.6 out of 5 stars,661,www.amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-46
42,F Gear Luxur Brown 25 liter Laptop Backpack (2404),980,4.4 out of 5 stars,"16,740",www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-47
43,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",649,3.6 out of 5 stars,36,www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-48
44,Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Black) 40L,426,3.9 out of 5 stars,73,www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3TVDK6/ref=sr_1_49?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-49
45,Kore Regular Gym Bag,59,2.6 out of 5 stars,"1,751",www.amazon.in/Kore-K-REGULAR-GYM-BAG-Regular-Gym-Bag/dp/B09VLK27NF/ref=sr_1_50?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-50
46,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",398,4.1 out of 5 stars,"9,018",www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-51
47,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,399",4.1 out of 5 stars,"5,536",www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-52
48,"Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)",549,3.9 out of 5 stars,"1,322",www.amazon.in/Amazon-Brand-Backpack-15-6-inch-Laptops/dp/B076QFBFRG/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-51
49,"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)",999,4.3 out of 5 stars,"3,289",www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-52
50,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1 out of 5 stars,"9,018",www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1685206992&sprefix=ba%2Caps%2C283&sr=8-53
